FANGJIA_ADDRESS,FANGJIA_NAME,FANGJIA_URL,FANGJIA_PRICE
天府路中段,龙城半岛,http://cd.fang.lianjia.com/loupan/p_undefinedabgja/, 40000
上南街10号,我的大学,http://cd.fang.lianjia.com/loupan/p_wddxabgir/, 20000
二环路东三段双庆路6号,华润二十四城七期,http://cd.fang.lianjia.com/loupan/p_hresscqqabgix/, 60000
柳台大道88号,中铁丽景书香,http://cd.fang.lianjia.com/loupan/p_ztljsxabfjv/, 23000
高店路东段1001号,宇众曼城,http://cd.fang.lianjia.com/loupan/p_yzmcabffq/, 15000
昭觉寺横路80号,台州商人大厦,http://cd.fang.lianjia.com/loupan/p_tzsrdsabblt/, 38000
昭觉寺横路80号,台州商人大厦,http://cd.fang.lianjia.com/loupan/p_tzsrdsabclr/, 14000
红光镇广场路北三段,同森锦熙,http://cd.fang.lianjia.com/loupan/p_tsjxabnep/, 35000
仁寿文林镇富强街126号,上城南苑,http://cd.fang.lianjia.com/loupan/p_scnyabdjo/, 8520
龙泉驿区鲸龙路960号（新龙中对面）,绿林书院,http://cd.fang.lianjia.com/loupan/p_llsyabjqp/, 13000
2.5环内昭觉寺横路（中国电信旁）,泛悦城市广场,http://cd.fang.lianjia.com/loupan/p_fycsgcaatkh/, 60000
益州大道中段699号（天府一街与天府二街之间）,香悦城,http://cd.fang.lianjia.com/loupan/p_xyhabghp/, 65000
牧华路口（剑南大道与牧华路交汇处）,鑫苑鑫都汇,http://cd.fang.lianjia.com/loupan/p_xyxdhabgho/, 30000
海科路99号（成都师范学院旁）,明信仕林府,http://cd.fang.lianjia.com/loupan/p_mxcslfabflj/, 20000
新都北大门川陕路（蓉都大道润扬双河鹭岛旁）,三佳悦都,http://cd.fang.lianjia.com/loupan/p_sjydabfme/, 8250
樱花路999号,绿地468公馆二期,http://cd.fang.lianjia.com/loupan/p_ldgeqaayiq/, 30000
峨眉山路369号,佳年华广场二期,http://cd.fang.lianjia.com/loupan/p_jnhgceqabruw/, 20000
华阳街道二江寺村一组,北辰南湖香麓,http://cd.fang.lianjia.com/loupan/p_bcnhxlabkmy/, 10000
成都市金牛区育仁西路18号,龙湖西宸原著御景,http://cd.fang.lianjia.com/loupan/p_lhxcyzeqabkhl/, 17000
光华北六路1号,绿地新里城,http://cd.fang.lianjia.com/loupan/p_ldxlcabotu/, 40000
2.5环内昭觉寺横路（中国电信旁）,泛悦城市广场,http://cd.fang.lianjia.com/loupan/p_fycsgcabncd/, 14500
新都北星大道大成路南段（家乐福旁）,北新上锦,http://cd.fang.lianjia.com/loupan/p_bxsjabncm/, 25000
南三环娇子立交外侧,首创娇子1号,http://cd.fang.lianjia.com/loupan/p_scjzabtwk/, 40000
锦绣大道355号,锦江国际花园,http://cd.fang.lianjia.com/loupan/p_jjgjhyabtwm/, 40000
牧华路三段1789号,海伦春天,http://cd.fang.lianjia.com/loupan/p_hlctabdvn/, 50000
暂无,檀香山公园里,http://cd.fang.lianjia.com/loupan/p_txsgylabfkw/, 60000
通源街588号,乐天圣苑,http://cd.fang.lianjia.com/loupan/p_undefinedacjzi/, 50000
天府一街与益州大道交界处,中洲锦城湖岸,http://cd.fang.lianjia.com/loupan/p_zzjchaabmxx/, 50000
东二环与琉璃路交汇处,中港CCPARK,http://cd.fang.lianjia.com/loupan/p_zgcabmyk/, 19000
蓉都大道南四段,华都九龙广场,http://cd.fang.lianjia.com/loupan/p_hdjlgcaclgl/, 9500
光华大道三段清泉北街,千禧河畔D区,http://cd.fang.lianjia.com/loupan/p_qxhpdqabksc/, 190
西华街道侯家桥路288号（西华大道与侯家桥路交汇处）,中粮祥云里,http://cd.fang.lianjia.com/loupan/p_zlxylabmtt/, 35000
成都高新南区新成仁路与新川大道交汇处（新川之心中央公园旁）,融创香璟台二期,http://cd.fang.lianjia.com/loupan/p_rcxjteqabrxm/, 45000
学院路东段189号,一品雅居,http://cd.fang.lianjia.com/loupan/p_ypyjabqna/, 27800
上沙河铺街66号（地铁2号线塔子山公园站旁）,COSMO天廊,http://cd.fang.lianjia.com/loupan/p_ctlabovr/, 23000
红光镇幸福路北一段（思源学校对面）,公园1号,http://cd.fang.lianjia.com/loupan/p_gyabdwp/, 25000
南三环路南五段188号（蓝天立交桥旁边）,美洲花园棕榈湾,http://cd.fang.lianjia.com/loupan/p_mzhyzlwaakst/, 19500
成都市成华区建设南路50号,中南融创玖华台邸,http://cd.fang.lianjia.com/loupan/p_rcjhtabrzo/, 17500
川陕立交旁荆翠西路,金科中心,http://cd.fang.lianjia.com/loupan/p_jkzxaasxs/, 12500
三官堂街与龙舟路交汇处,望江名门,http://cd.fang.lianjia.com/loupan/p_jcypdsaaupy/, 45000
培华路399号,金阳易诚国际,http://cd.fang.lianjia.com/loupan/p_jyycgjabqkx/, 16000
一环路北四段108号（一环以内）,银海中心,http://cd.fang.lianjia.com/loupan/p_yhzxabchf/, 19000
三星镇学府大道279号,星岛星时区,http://cd.fang.lianjia.com/loupan/p_xdxsqabmfj/, 11000
安德镇政府路1号（安德政府对面）,杜鹃城,http://cd.fang.lianjia.com/loupan/p_djcaaljo/, 5100
剑南大道与天府四街交汇处,时代晶座,http://cd.fang.lianjia.com/loupan/p_sdjzabhoq/, 100
峨眉山路369号,佳年华广场二期,http://cd.fang.lianjia.com/loupan/p_jnhgceqabqnw/, 16000
东大路下沙河铺街和大凉山路交界处（塔子山公园旁）,恒大望江华府,http://cd.fang.lianjia.com/loupan/p_hdwjhfaazop/, 26000
成华区锦绣大道段大渡河路交汇处,荣盛香榭兰庭一期,http://cd.fang.lianjia.com/loupan/p_rsxxltyqabire/, 11000
天府南华路与天府三街交汇处（高新青年公寓对面）,一品CG,http://cd.fang.lianjia.com/loupan/p_ypcaatfc/, 300
红光镇港华路555号,上置绿洲雅宾利花园,http://cd.fang.lianjia.com/loupan/p_szlzyblhyabils/, 15000
天府大道与天府一街交汇处（地铁1号线世纪城北行500米）,IMC国际广场,http://cd.fang.lianjia.com/loupan/p_imcgjgcaatfb/, 20000
铁军路588号（外江大桥与玉府路交叉口）,成都万达城,http://cd.fang.lianjia.com/loupan/p_wdcaayoe/, 7500
斑竹园镇南华路和竹韵大道交汇处,明都汇,http://cd.fang.lianjia.com/loupan/p_mdhaawwc/, 12000
天府三街1599号（天府三街与南华路交汇处）,大源欢乐颂,http://cd.fang.lianjia.com/loupan/p_dyhlsaayxm/, 80
芝芝路888号,美好庄园,http://cd.fang.lianjia.com/loupan/p_mhzyaazbu/, 15000
华阳街道府河路与南湖路交汇处,北京街,http://cd.fang.lianjia.com/loupan/p_cdbjjabcnf/, 45000
阳光城幸福大道333号,华府幸福城,http://cd.fang.lianjia.com/loupan/p_hfxfcabcwz/, 32000
同安镇阳光城阳光大道138号,中粮御嶺湾,http://cd.fang.lianjia.com/loupan/p_zlywaafga/, 1125
光华大道三段清泉北街,千禧河畔D区,http://cd.fang.lianjia.com/loupan/p_qxhpdqacjsy/, 42000
峨眉山路369号,佳年华广场一期,http://cd.fang.lianjia.com/loupan/p_jnhgcabbkr/, 25000
五块石玉居庵东路116号（红旗连锁旁）,中铁瑞景汇中心,http://cd.fang.lianjia.com/loupan/p_ztrjhzxabbhk/, 50000
金科北路地铁2号线站口20米（交警六分局旁）,东原亲亲里,http://cd.fang.lianjia.com/loupan/p_dyqqlabbja/, 32000
国宁东路666号(成都外国语学校旁),鼎犀名城,http://cd.fang.lianjia.com/loupan/p_dxmcabbjq/, 28000
金泉街道高家社区2组（金科路小学旁）,华宇西城雅郡,http://cd.fang.lianjia.com/loupan/p_hyxcyjabbju/, 42000
金河路与西安路交汇处（凤翔湖旁）,北大资源公园1898,http://cd.fang.lianjia.com/loupan/p_bdzygyabgkz/, 36000
光华大道三段临温泉大道路口（4号线西部新城西站）,星光华印象,http://cd.fang.lianjia.com/loupan/p_xghyxabgjz/, 18000
犀浦镇金粮路与全兴路交汇处,锦巷兰台,http://cd.fang.lianjia.com/loupan/p_jxltabmbb/, 35000
槐树店一路300号,鲁能公馆,http://cd.fang.lianjia.com/loupan/p_lncabgjc/, 50000
光华大道东4路78号（万家湾公交站旁边）,东原时光道,http://cd.fang.lianjia.com/loupan/p_dysgdabbij/, 40000
麓山大道二段（新元素奥迪旗舰店旁）,中德麓府,http://cd.fang.lianjia.com/loupan/p_zdlfabgki/, 21000
公兴镇藕塘村5组,德商华府天骄,http://cd.fang.lianjia.com/loupan/p_dshftjabdxl/, 210
共和路与林泉南街交汇处,金科天宸,http://cd.fang.lianjia.com/loupan/p_jktcabgkl/, 30000
